Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
498,Duda Sampaio,MF,br Brazil,22,2001,0.3,0,2,0,0,6.92,0,0,,17.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
499,Vyan Sampson,MF,jm Jamaica,26,1996,3.9,0,2,1,50,0.52,0.26,0,0,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
500,Anna Sandberg,DF,se Sweden,20,2003,1,0,1,0,0,1,0,0,,24.9,0,0,0,0,0,0.04,0,0
501,Leicy Santos,"MF,FW",co Colombia,27,1996,4.2,1,9,3,33.3,2.14,0.71,0.11,0.33,19.4,0,0,0,0.6,0.6,0.06,0.4,0.4
502,Paige Satchell,FW,nz New Zealand,25,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
503,Jaclyn Sawicki,MF,ph Philippines,30,1992,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
504,Sophie Schmidt,MF,ca Canada,34,1988,1.2,0,3,1,33.3,2.45,0.82,0,0,20.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
505,Olivia Schough,"FW,MF",se Sweden,32,1991,1.4,0,3,1,33.3,2.11,0.7,0,0,20.1,1,0,0,0.3,0.3,0.1,-0.3,-0.3
506,Lea Schüller,"FW,MF",de Germany,25,1997,1.6,1,4,1,25,2.57,0.64,0.25,1,14.8,0,0,0,0.6,0.6,0.16,0.4,0.4
507,Sheika Scott,FW,cr Costa Rica,16,2006,1.3,0,3,0,0,2.31,0,0,,20.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2
508,Caroline Seger,MF,se Sweden,38,1985,0.8,0,1,1,100,1.27,1.27,0,0,6.5,0,0,0,0.1,0.1,0.15,-0.1,-0.1
509,Ana Seiça,DF,pt Portugal,22,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
510,Kiko Seike,"DF,MF",jp Japan,26,1996,0.5,0,3,2,66.7,6.59,4.39,0,0,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
511,Jang Sel-gi,DF,kr Korea Republic,29,1994,3,0,1,0,0,0.33,0,0,,16.7,0,0,0,0,0,0.02,0,0
512,Linda Sembrant,"DF,FW",se Sweden,36,1987,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
513,Shim Seo-yeon,DF,kr Korea Republic,34,1989,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
514,Lim Seon-joo,DF,kr Korea Republic,32,1990,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
515,Jermaine Seoposenwe,"FW,MF",za South Africa,29,1993,3.3,0,4,2,50,1.2,0.6,0,0,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
516,Meryll Serrano,MF,ph Philippines,25,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
517,Annamaria Serturini,FW,it Italy,25,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
518,Rikke Sevecke,DF,dk Denmark,26,1996,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
519,Wang Shanshan,DF,cn China PR,33,1990,3,0,1,0,0,0.33,0,0,,5.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1
520,Khadija Shaw,FW,jm Jamaica,26,1997,3,0,7,1,14.3,2.34,0.33,0,0,22.9,1,0,0,0.4,0.4,0.06,-0.4,-0.4
521,Kailen Sheridan,GK,ca Canada,27,1995,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
522,Marissa Sheva,"FW,DF",ie Rep. of Ireland,26,1997,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
523,Risa Shimizu,"MF,DF",jp Japan,26,1996,4.6,1,5,1,20,1.08,0.22,0.2,1,14.4,0,0,0,0.5,0.5,0.09,0.5,0.5
524,Wendy Shongwe,FW,za South Africa,20,2003,0.7,0,2,1,50,2.9,1.45,0,0,21.4,0,0,0,0,0,0.02,0,0
525,Wang Shuang,"FW,MF",cn China PR,28,1995,1.8,2,3,1,33.3,1.65,0.55,0,0,35.3,0,2,2,1.6,0.1,0.02,0.4,-0.1
526,Diana Silva,FW,pt Portugal,28,1995,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
527,Dolores Silva,MF,pt Portugal,31,1991,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
528,Jéssica Silva,FW,pt Portugal,28,1994,2.8,0,6,1,16.7,2.18,0.36,0,0,16.7,0,0,0,0.8,0.8,0.14,-0.8,-0.8
529,Kameron Simmonds,"FW,MF",jm Jamaica,19,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
530,Christine Sinclair,"FW,MF",ca Canada,40,1983,1.8,0,3,2,66.7,1.69,1.13,0,0,19.2,0,0,1,1.5,0.7,0.22,-1.5,-0.7
531,Olivia Smith,MF,ca Canada,18,2004,0.1,0,1,1,100,6.92,6.92,0,0,30.9,0,0,0,0,0,0.02,0,0
532,Sophia Smith,FW,us USA,22,2000,4,2,13,4,30.8,3.25,1,0.15,0.5,16.5,0,0,0,1.2,1.2,0.09,0.8,0.8
533,Emma Snerle,FW,dk Denmark,22,2001,0.1,0,1,0,0,10,0,0,,26.7,0,0,0,0,0,0.03,0,0
534,Katja Snoeijs,FW,nl Netherlands,26,1996,2.2,1,2,2,100,0.9,0.9,0.5,0.5,18.5,0,0,0,0.5,0.5,0.26,0.5,0.5
535,Cho So-hyun,MF,kr Korea Republic,34,1988,2.7,1,3,1,33.3,1.1,0.37,0.33,1,15.3,0,0,0,0.7,0.7,0.24,0.3,0.3
536,Ji So-yun,MF,kr Korea Republic,32,1991,3,0,4,1,25,1.33,0.33,0,0,28.3,2,0,0,0.2,0.2,0.05,-0.2,-0.2
537,Havana Solaun,FW,jm Jamaica,30,1993,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
538,Daniela Solera,GK,cr Costa Rica,25,1997,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
539,Emily Sonnett,MF,us USA,29,1993,1.4,0,1,0,0,0.71,0,0,,25.7,0,0,0,0,0,0.05,0,0
540,Coumba Sow,MF,ch Switzerland,28,1994,3.5,0,4,2,50,1.14,0.57,0,0,17.3,0,0,0,0.7,0.7,0.16,-0.7,-0.7
541,Drew Spence,MF,jm Jamaica,30,1992,4,0,7,1,14.3,1.75,0.25,0,0,24.2,1,0,0,0.5,0.5,0.08,-0.5,-0.5
542,Rebecca Spencer,GK,jm Jamaica,32,1991,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
543,Sherida Spitse,DF,nl Netherlands,33,1990,4.7,0,1,0,0,0.21,0,0,,9.9,0,0,0,0,0,0.04,0,0
544,Eliana Stábile,DF,ar Argentina,29,1993,3,0,1,0,0,0.33,0,0,,32.5,0,0,0,0,0,0.02,0,0
545,Georgia Stanway,MF,en England,24,1999,6.8,1,8,2,25,1.17,0.29,0,0,19.9,0,1,1,1.3,0.5,0.06,-0.3,-0.5
546,Malia Steinmetz,MF,nz New Zealand,24,1999,3,0,5,1,20,1.67,0.33,0,0,20.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
547,Julia Stierli,DF,ch Switzerland,26,1997,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
548,Rebekah Stott,DF,nz New Zealand,29,1993,2.4,0,1,0,0,0.41,0,0,,17,0,0,0,0,0,0.02,0,0
549,Ngân Thị Vạn Sự,MF,vn Vietnam,22,2001,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
